,city,month,ozone median
313,Woodland,2020-02-01,0.024783
323,Woodland,2020-12-01,0.015958
322,Woodland,2020-11-01,0.019083
321,Woodland,2020-10-01,0.02725
320,Woodland,2020-09-01,0.028043
312,Woodland,2020-01-01,0.017304
318,Woodland,2020-07-01,0.0262125
317,Woodland,2020-06-01,0.0263405
316,Woodland,2020-05-01,0.030471
314,Woodland,2020-03-01,0.029
319,Woodland,2020-08-01,0.025792
