,city,month,ozone max
292,Stockton,2020-05-01,0.042294
293,Stockton,2020-06-01,0.040294
294,Stockton,2020-07-01,0.039118
295,Stockton,2020-08-01,0.048412
296,Stockton,2020-09-01,0.052353
297,Stockton,2020-10-01,0.032471
289,Stockton,2020-02-01,0.036176
290,Stockton,2020-03-01,0.035118
299,Stockton,2020-12-01,0.019647
298,Stockton,2020-11-01,0.028118
358,Tracy,2020-11-01,0.050941
357,Tracy,2020-10-01,0.053059
356,Tracy,2020-09-01,0.057765
355,Tracy,2020-08-01,0.055588
354,Tracy,2020-07-01,0.048824
353,Tracy,2020-06-01,0.05
352,Tracy,2020-05-01,0.052529
351,Tracy,2020-04-01,0.053765
350,Tracy,2020-03-01,0.044294
349,Tracy,2020-02-01,0.044529
348,Tracy,2020-01-01,0.034588
359,Tracy,2020-12-01,0.034824
336,Vacaville,2020-01-01,0.033176
337,Vacaville,2020-02-01,0.043647
338,Vacaville,2020-03-01,0.043765
339,Vacaville,2020-04-01,0.043773
340,Vacaville,2020-05-01,0.043294
341,Vacaville,2020-06-01,0.040647
342,Vacaville,2020-07-01,
343,Vacaville,2020-08-01,0.043471
344,Vacaville,2020-09-01,0.047
345,Vacaville,2020-10-01,0.044294
346,Vacaville,2020-11-01,0.035588
347,Vacaville,2020-12-01,0.034583
60,Vallejo,2020-01-01,0.033
65,Vallejo,2020-06-01,0.035647
71,Vallejo,2020-12-01,0.0275
61,Vallejo,2020-02-01,0.038143
62,Vallejo,2020-03-01,0.043529
63,Vallejo,2020-04-01,0.040941
64,Vallejo,2020-05-01,0.048176
66,Vallejo,2020-07-01,0.03613
67,Vallejo,2020-08-01,0.036
68,Vallejo,2020-09-01,0.043
69,Vallejo,2020-10-01,0.039176
70,Vallejo,2020-11-01,0.03713
315,Woodland,2020-04-01,0.039882
313,Woodland,2020-02-01,0.041235
323,Woodland,2020-12-01,0.028458
322,Woodland,2020-11-01,0.033875
321,Woodland,2020-10-01,0.038765
320,Woodland,2020-09-01,0.046118
312,Woodland,2020-01-01,0.031118
318,Woodland,2020-07-01,0.035583
317,Woodland,2020-06-01,0.037412
316,Woodland,2020-05-01,0.044647
314,Woodland,2020-03-01,0.036235
319,Woodland,2020-08-01,0.048235
